review_id,user_id,isbn,review_title,review_content,status
1,babyG,9791161752624,이 책은 정말 추천할만합니다.,"스프링 부트의 최신 버전으로 기본적인 내용부터 마이크로서비스에 이르기까지 다양한 기능들을 소개하고, 예제를 통해서 스트링 부트의 장점이 무엇이고, 왜 스프링 부트를 사용해야 하는지...",ACTIVE
2,fantasyFan,9791189909307,이 책은 정말 추천할만합니다.,"대규모 트래픽을 적은 비용으로 처리할 수 있는 고성능 서버의 비밀은 무엇일까? 스프링 부트 개발, 테스트, 문서화, 보안, 도커화, 운영까지 모두를 한 권에 마스터하는 것을 목표로...",ACTIVE
3,designPro,9791161758305,이 책은 정말 읽을 가치가 있습니다.,"최근 클라우드 네이티브(cloud-native) 애플리케이션 구축에 많이 활용되는 스프링 부트(Spring Boot) 기반에서, 데이터 액세스 기술로 인기를 끌고 있는 것이 바로 ...",ACTIVE
4,libroLover,9791186710487,이 책은 정말 감동적이었습니다.,"누구나 끝까지 따라 할 수 있는 스프링 부트

이 책은 스프링 부트의 자동설정을 시작으로, 스프링 데이터 JPA를 이용한 데이터베이스 처리, 타임리프를 이용한 템플릿 기반의 화면구...",ACTIVE
5,typeScriptFan,9791162242995,이 책은 정말 추천할만합니다.,"웹 애플리케이션을 효과적으로 구현하는 실무 비법 대방출

스프링 부트로 웹 개발을 할 때 마주치는 문제를 속 시원하게 해결하고 싶다면 이 책이 답이다. 스프링 부트에서 자주 발생하...",ACTIVE
6,nonFicReader,9791141012304,이 책은 정말 추천할만합니다.,이 책은 자바 개발자가 스프링 프레임워크를 이용해서 시스템을 구축하기 위한 스프링 프레임워크 및 부트 프레임워크의 필수 내용을 원리와 함께 실전 코드까지 설명하고 있습니다. 뷰 페...,ACTIVE
7,reader21,9791192987354,이 책은 정말 읽을 가치가 있습니다.,"인류에겐 이런 스프링 부트 가이드북이 필요했다

방대한 스프링 부트 공식 문서 중 실무에서 잘 쓰이는 팁을 찾기란 어렵다. 이 책은 초급에서 중급 수준의 독자를 대상으로 스프링 부...",ACTIVE
8,kDramaFan,9791187345534,이 책은 정말 감동적이었습니다.,"스프링 개발을 간소화하는 스프링 부트로 업무 효율을 높이자!

[스프링 부트 코딩 공작소]는 간단한 웹 애플리케이션을 직접 만들면서 자동 구성, 스타터 의존성, 명령줄 인터페이스,...",ACTIVE
9,litLover,9791186710456,이 책은 정말 추천할만합니다.,"스프링의 개념 이해부터 클라우드 컴퓨팅까지, 한 번에 잡는 퍼펙트 강의

스프링 프레임워크에 대한 설명을 시작으로 스프링 부트의 등장 배경과 특징을 살펴봅니다. 그리고 게시판 애플...",ACTIVE
10,typeScriptFan,9788968487590,이 책은 정말 추천할만합니다.,"생산성 향상을 꿈꾸는 현업 개발자를 위한 스프링 부트 실무 가이드!

스프링 부트는 ‘최소한의 노력으로 스프링 기반 프로젝트를 시작할 수 있는’ 기술이다. 강력한 스프링 기능을 바...",ACTIVE
11,codeLover,9791191905298,이 책은 정말 읽을 가치가 있습니다.,"★ 자바 백엔드 개발자가 되고 싶다면
★ 자바 언어 입문 그다음에 꼭 보세요실력을 갖춘 개발자로 성장하려면 시작이 중요합니다. 그래서 이 책은 무엇부터 익혀야 하는지 막막한 입문자...",ACTIVE
12,ssafy,9791186710487,이 책은 정말 읽을 가치가 있습니다.,"누구나 끝까지 따라 할 수 있는 스프링 부트

이 책은 스프링 부트의 자동설정을 시작으로, 스프링 데이터 JPA를 이용한 데이터베이스 처리, 타임리프를 이용한 템플릿 기반의 화면구...",ACTIVE
13,readerPro,9791188621279,이 책은 정말 추천할만합니다.,"자바 기반의 웹 서비스를 가장 쉽고 빠르게 배운다!

시중에는 자바 웹 개발자를 위한 스프링과 JSP 관련 서적이 많이 나와 있긴 하지만, 입문자가 끝까지 따라 할 만한 책은 많지...",ACTIVE
14,litLover,9791158393083,이 책은 정말 추천할만합니다.,"입문자의 눈높이에 맞춰 차근차근 따라 하면서 배우는 스프링 부트 입문서!

《스프링 부트 핵심 가이드》는 스프링 부트 기반의 애플리케이션을 개발할 때 필요한 기초적인 내용들을 소개...",ACTIVE
15,nonFicReader,9791158391416,이 책은 정말 추천할만합니다.,작은 일체형부터 여러 서비스를 결합한 이벤트 중심 아키텍처까지 스프링 부트 애플리케이션을 조금씩 발전시켜 나가면서 마이크로서비스 아키텍처를 구축합니다. 이를 통해 마이크로서비스 아...,ACTIVE
16,javaCoder,9791161753478,이 책은 정말 읽을 가치가 있습니다.,"스프링 부트를 사용해 가볍고 빠르게 소프트웨어를 개발하고 검증하고자 하는 독자에게 유용한 책이다. 이 책을 통해 스프링 부트를 사용해 기본 애플리케이션 제작 방법, 반응형 웹 애플...",ACTIVE
17,litLover,9791195484577,이 책은 정말 추천할만합니다.,"이 책은 Spring Boot와 Spring Data JPA, Thymeleaf를 이용해서 프로젝트를 사용하는 방법에 대해 설명한다. 대상 독자는 Spring 프레임워크를 어느 정...",ACTIVE
18,ssafy,9791162242995,이 책은 정말 감동적이었습니다.,"웹 애플리케이션을 효과적으로 구현하는 실무 비법 대방출

스프링 부트로 웹 개발을 할 때 마주치는 문제를 속 시원하게 해결하고 싶다면 이 책이 답이다. 스프링 부트에서 자주 발생하...",ACTIVE
19,jsExpert,9791189184117,이 책은 정말 추천할만합니다.,"리액트와 스프링 부트를 이용해서 프런트 엔드와 백 엔드를 분리한다면?
이 책은 리액트의 문법이나 기능을 다루는 책이 아닙니다. 이 책에서 다루는 주제는 '리액트를 어떻게 활용하는가...",ACTIVE
20,jsExpert,9791162241264,이 책은 정말 추천할만합니다.,"구현 순서에 맞춰 프로젝트를 진행하며 배우는 실전 입문서

이 책은 스프링 부트 입문자의 눈높이에 맞춰 스프링 부트 환경 설정부터 커뮤니티 게시판 구현까지를 다룹니다. 스프링 부트...",ACTIVE
21,springBooter,9791161752556,이 책은 정말 추천할만합니다.,"어느새 자바 생태계의 주류 언어로 자리매김한 코틀린 언어를 바탕으로 마이크로서비스와 리액티브에 대해 알아본다. 기본 개념, 작동 원리와 장점을 살펴보는 것을 시작으로 스프링 부트 ...",ACTIVE
22,reader21,9791158391850,이 책은 정말 감동적이었습니다.,"프런트엔드와 백엔드 웹 개발에서 스프링과 Vue를 사용해 효율성을 높이자!

이 책은 실용적인 접근법으로 풀스택 웹 개발자가 되는 데 도움을 줍니다. 개발자는 프런트엔드와 백엔드 ...",ACTIVE
23,ssafy,9791161756776,이 책은 정말 읽을 가치가 있습니다.,다수의 사용자를 지원하는 Todo 웹 애플리케이션을 구현하고 배포한다. 또한 현장에서 많이 사용하는 프론트엔드와 백엔드 서버가 분리된 아키텍처(Decoupled Architectu...,ACTIVE
24,typeScriptFan,9791186710487,이 책은 정말 감동적이었습니다.,"누구나 끝까지 따라 할 수 있는 스프링 부트

이 책은 스프링 부트의 자동설정을 시작으로, 스프링 데이터 JPA를 이용한 데이터베이스 처리, 타임리프를 이용한 템플릿 기반의 화면구...",ACTIVE
25,designPro,9791189184124,이 책은 정말 감동적이었습니다.,"이 책은 최근에 유행하는 다양한 프런트 엔드 기술을 서포트하기 위해서 만들었습니다. React나 Vue.js, Android, iOS와 같이 별도의 애플리케이션을 제작하기 위해서는...",ACTIVE
26,bookworm,9791140702121,이 책은 정말 읽을 가치가 있습니다.,"마이크로서비스 아키텍처 환경에서
컴포넌트를 개발할 때 무엇이 필요한지 알아보고,
이때 필요한 스프링 부트 사용법을 익힌다!

마이크로서비스 아키텍처는 대규모 서비스의 ‘정답’처럼 ...",ACTIVE
27,ssafy,9788997924899,이 책은 정말 읽을 가치가 있습니다.,스프링 부트와 JPA를 활용하여 실제 이커머스 업계에서 활용되는 쇼핑몰 기술들을 직접 구현해볼 수 있게 구성하였다. JPA와 Thymeleaf에 대한 간단한 예제로 기본 개념과 사...,ACTIVE
