book_like_id,user_id,isbn,status
1,litLover,9791191905717,ACTIVE
2,fantasyFan,9791191905717,ACTIVE
3,codeLover,9791191905717,ACTIVE
4,reader21,9791191905717,ACTIVE
5,kDramaFan,9791191905717,ACTIVE
6,designPro,9791191905717,ACTIVE
7,babyG,9791191905717,ACTIVE
8,kDramaFan,9791161758633,ACTIVE
9,q1w2e3,9791161758633,ACTIVE
10,litLover,9791161758633,ACTIVE
11,devFan,9791192987354,ACTIVE
12,typeScriptFan,9791192987354,ACTIVE
13,designPro,9791192987354,ACTIVE
14,fullstack21,9791192987354,ACTIVE
15,libroLover,9791192987354,ACTIVE
16,codeLover,9791192987354,ACTIVE
17,litLover,9791192987354,ACTIVE
18,javaCoder,9791192987354,ACTIVE
19,javaCoder,9791161752624,ACTIVE
20,ssafy,9791161752624,ACTIVE
21,springBooter,9791161752624,ACTIVE
22,bookworm,9791161752624,ACTIVE
23,designPro,9791161752624,ACTIVE
24,vueMaster,9791161752624,ACTIVE
25,readerPro,9791161752624,ACTIVE
26,jsExpert,9791161752624,ACTIVE
27,fantasyFan,9791161752624,ACTIVE
28,nonFicReader,9791195484577,ACTIVE
29,codeLover,9791195484577,ACTIVE
30,typeScriptFan,9791195484577,ACTIVE
31,vueMaster,9791195484577,ACTIVE
32,javaCoder,9791195484577,ACTIVE
33,devFan,9791195484577,ACTIVE
34,reader21,9791195484577,ACTIVE
35,vueMaster,9791186710487,ACTIVE
36,jsExpert,9791186710487,ACTIVE
37,typeScriptFan,9791186710487,ACTIVE
38,readerPro,9791186710487,ACTIVE
39,kDramaFan,9791186710487,ACTIVE
40,litLover,9791186710487,ACTIVE
41,javaCoder,9791186710487,ACTIVE
42,libroLover,9791186710487,ACTIVE
43,springBooter,9791186710487,ACTIVE
44,bookworm,9788966262304,ACTIVE
45,nonFicReader,9788966262304,ACTIVE
46,springBooter,9788966262304,ACTIVE
47,ssafy,9788966262304,ACTIVE
48,q1w2e3,9791161753478,ACTIVE
49,devFan,9791161753478,ACTIVE
50,typeScriptFan,9791161753478,ACTIVE
51,designPro,9791161753478,ACTIVE
52,jsExpert,9791187497158,ACTIVE
53,springBooter,9791187497158,ACTIVE
54,fantasyFan,9791187497158,ACTIVE
55,ssafy,9791187497158,ACTIVE
56,devFan,9791187497158,ACTIVE
57,reader21,9791187497158,ACTIVE
58,vueMaster,9791187497158,ACTIVE
59,babyG,9791187497158,ACTIVE
60,springBooter,9791161758305,ACTIVE
61,litLover,9791161758305,ACTIVE
62,ssafy,9791161758305,ACTIVE
63,nonFicReader,9791161758305,ACTIVE
64,bookworm,9791158393083,ACTIVE
65,devFan,9791158393083,ACTIVE
66,readerPro,9791158393083,ACTIVE
67,nonFicReader,9791158393083,ACTIVE
68,fullstack21,9791158393083,ACTIVE
69,typeScriptFan,9791158393083,ACTIVE
70,vueMaster,9788968487590,ACTIVE
71,javaCoder,9788968487590,ACTIVE
72,fantasyFan,9788968487590,ACTIVE
73,ssafy,9788968487590,ACTIVE
74,reader21,9788968487590,ACTIVE
75,jsExpert,9788968487590,ACTIVE
76,nonFicReader,9788968487590,ACTIVE
77,springBooter,9788968487590,ACTIVE
78,codeLover,9791187345534,ACTIVE
79,litLover,9791187345534,ACTIVE
80,typeScriptFan,9791187345534,ACTIVE
81,vueMaster,9791187345534,ACTIVE
82,fantasyFan,9791187345534,ACTIVE
83,libroLover,9791187345534,ACTIVE
84,devFan,9791187345534,ACTIVE
85,vueMaster,9791163035398,ACTIVE
86,ssafy,9791163035398,ACTIVE
87,designPro,9791163035398,ACTIVE
88,litLover,9791163035398,ACTIVE
89,javaCoder,9791163035398,ACTIVE
90,litLover,9791162241264,ACTIVE
91,libroLover,9791162241264,ACTIVE
92,jsExpert,9791162241264,ACTIVE
93,javaCoder,9791162241264,ACTIVE
94,ssafy,9791162241264,ACTIVE
95,bookworm,9791162241264,ACTIVE
96,codeLover,9791162241264,ACTIVE
97,reader21,9791162241264,ACTIVE
98,ssafy,9791141031527,ACTIVE
99,babyG,9791186710456,ACTIVE
100,javaCoder,9791186710456,ACTIVE
101,vueMaster,9791186710456,ACTIVE
102,typeScriptFan,9791186710456,ACTIVE
103,designPro,9791186710456,ACTIVE
104,libroLover,9791189909307,ACTIVE
105,fullstack21,9791160501506,ACTIVE
106,kDramaFan,9791160501506,ACTIVE
107,ssafy,9791160501506,ACTIVE
108,typeScriptFan,9791160501506,ACTIVE
109,nonFicReader,9791160501506,ACTIVE
110,fantasyFan,9791160501506,ACTIVE
111,litLover,9791165920302,ACTIVE
112,vueMaster,9791165920302,ACTIVE
113,q1w2e3,9791165920302,ACTIVE
114,fullstack21,9791162242995,ACTIVE
115,vueMaster,9791162242995,ACTIVE
116,codeLover,9791162242995,ACTIVE
117,fantasyFan,9791162242995,ACTIVE
118,typeScriptFan,9791188621279,ACTIVE
119,javaCoder,9791188621279,ACTIVE
120,babyG,9791188621279,ACTIVE
121,reader21,9791188621279,ACTIVE
122,libroLover,9791188621279,ACTIVE
123,litLover,9791188621279,ACTIVE
